,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Software Developer/Computer Programmer,-1,"Career Opportunities


Interested in joining the Carahsoft Team?


Software Developer/Computer Programmer

Back To Careers

Carahsoft seeks a Software Developer to join our
IT team in Reston, VA. This position will develop .NET and PHP-based web applications
and modules and requires professionalism, initiative, and a demonstrable aptitude
for managing web development pipeline.

Primary Duties and Responsibilities:
Design APIs to encapsulate sales workflows
Build PHP modules for internal and
externally facing web applications
Modify existing code to improve performance
and eliminate bugs
Design and build new features and
object-oriented PHP modules
Help design and maintain well-organized
MySQL databases
Adhere to development deadlines
Requirements:
Computer Science B.S. degree or equivalent paid
experience as programmer
Knowledge, Skills, and Abilities:
Mastery of Object Oriented Programming principles
PHP (knowledge of frameworks such as
CodeIgniter, CakePHP, etc. a plus)
SQL/MySQL
Git
C# experience a huge plus
Docker/Kubernetes knowledge is a plus
Knowledge of web Authentication modules a
plus
Carahsoft is an equal opportunity company. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status.",3.2,"Carahsoft
3.2","Reston, VA",-1,501 to 1000 Employees,2004,Company - Private,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1
1,Entry Level Computer Programmer,-1,"As the fastest growing employer of emerging tech talent across the U.S, Revature looks to hire over 300 innovative Entry Level Computer Programmers in the next 4 weeks.

One day someone is going to ask you where you got your start…This is IT!

With a wide range of Fortune 500 enterprises, government organizations and top systems integrators as our clients, we not only provide you with the skills needed to succeed through an employer-paid training program but will also give you the opportunity to put those skills to use, on projects that matter.

What We Are Looking For

College degree (Associates or Bachelors)
Must be authorized to work in the US
Strong desire to learn to code – No prior professional experience required.
A natural problem solver
Strong communication and interpersonal skills
Willing to relocate anywhere in the US – Relocation assistance provided

What We Offer

Competitive salary
Relocation & housing assistance
Health, vision & dental insurance
Paid time off
Industry Certifications
Life Insurance Policy
401k
Mentoring program and ongoing support throughout your entire Revature career
Experience with the largest and most reputable companies in the US

Apply Today. Interviews are going on now.
#SoftwareEngineering

Equal Employment Opportunity

The Company is an equal opportunity employer. We will extend equal opportunity to all individuals without regard to race, religion, color, sex, pregnancy, childbirth or related medical conditions, sexual orientation, gender identity, national origin, disability, age, genetic information, marital status, veteran status, or any other status protected under applicable federal, state, or local laws. This policy applies to all terms and conditions of employment, including but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, benefits, compensation and training. If you require an accommodation to work based on any of these protected factors, please notify the Human Resources Department, and the Company will evaluate the request and provide an accommodation in accordance with applicable law.

We seek to comply with all applicable federal, state and local laws related to discrimination and will not tolerate the interference with the ability of any of the Company’s employees to perform their job duties. Our policy reflects and affirms the Company’s commitment to the principles of fair employment and the elimination of all discriminatory practices.",3.8,"Revature
3.8","San Antonio, TX",-1,1001 to 5000 Employees,2003,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
2,"DCGS-A Software Engineer, Intermediate",-1,"Secure our Nation, Ignite your Future

Currently, ManTech is seeking a motivated, career and customer-oriented Software Engineer, Intermediate to join our team in Aberdeen Proving Ground, Maryland.

Responsibilities include, but are not limited to:

Provide functional and empirical analysis related to the design, development, and implementation of software systems, including, but not limited to application software, utility software, development software, and diagnostic software.
Participate in the development of test strategies, devices, and systems.
Solve engineering problems, or manage the solution of engineering problems.
Systems engineering – responsible for system requirements, design, documentation, risks, quality
System documentation (Engineering artifacts, contract artifacts, requirements traceability, manuals)
Assist in the definition and programming of moderately complex software
Work effectively on several phases of systems/software programming/analysis with little direction, but may require some instruction and guidance for other aspects
May support system/software test design, engineering evaluation, configuration management

Basic Qualifications:

BA/BS in Electronics Engineering or any other Scientific or Technical discipline.
Must be able to provide software development experience, functional and empirical analysis related to the design, development, and implementation of software systems, including, but not limited to application software, utility software, development software, and diagnostic software.
Experience with at least one programming language, ECT c#, Java, Python, Ruby
Must be able to participate in the development of test strategies, devices, and systems.
Demonstrated initiative, sound judgment, effective decision-making, and excellent oral and written communication skills
Creative problem solver to devise solutions using test systems/tools, company or customer furnished computer systems and equipment or commercial off-the-shelf packages
Plans, develops, implements tests, and customizes software test servers and tools
Continues to improve technical expertise through the identification of new processes and technical alternatives to resolve problems and/or general improvements

Preferred Qualifications:

Experience with Eggplant, Maven, Puppet, Less, PHP, HTML, Jenkins, and Git

Security Clearance Requirements:

TS SCI Clearance Required

Physical Requirements:

Must be able to remain in a stationary position 50%

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech International Corporation
4.2","Aberdeen Proving Ground, MD",-1,5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
3,Programmer Analyst - ESB (Java),-1,"Programmer Analyst - ESB (Java) - Job Description

This position has responsibility for design development, coding, testing, implementation and maintenance of apis and using various development tools including java, Tibco Businessworks and Apigee.

Responsibilities:

Design and build enterprise wide integration solutions Ownership of the full life cycle for the solution, from initial analysis through testing and delivery
Participates in Define phase for scoping, and design phase for detailed technical requirements and design specifications, and will be responsible for development of complex solutions.
Works with other TIBCO developers to ensure best practices for performance are followed for optimal performance.
Interfaces with other IS delivery teams for coordination of project tasks, status reporting, and issue resolution.
Create and maintain new APIS that support business requirements.
Troubleshooting and cross training with other developers.
Will train on Tibco and Apigee platforms

The ideal candidate would have the following:

Ability to manage multiple projects concurrently
Ability to work either independently or as part of a larger team, depending on project assignments
Familiarity with Enterprise Java technologies (J2EE / Java EE)
Familiarity with building and consuming web services
Familiar with SOAP and REST API protocols, as well as HTTP transport concepts
Practical knowledge of relational database concepts and SQL queries (MS SQL Server and Oracle preferred)
Ability to deliver assigned work on time without defects.
Willing to learn new technologies and assimilate new tools quickly
Excellent written and oral communication skills
Knowledge of telecommunications industry helpful.

Qualifications:

Bachelor’s degree in computer science, computer information systems, or related study",2.5,"Frontier Communications
2.5","Allen, TX",-1,10000+ Employees,1935,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$5 to $10 billion (USD),-1
4,LabVIEW Software Engineer/Developer,-1,"LabVIEW Software Engineer/Developer *
Full-time salaried position at our office in Old Lyme, CT
_US citizens only_* .
Job Description

The LabVIEW Software Engineer uses LabVIEW to design and develop software for turnkey products for the inspection and cleaning of fiber optic connectors. Applications involve a variety of technologies including Image Acquisition, Machine Vision and Motion control.

Desired Skills and Experience
Software development for automated test, Image Acquisition, Machine Vision and Motion control using LabVIEW software.

Requirements:
• BS in engineering or science, electrical engineering, MS a plus
• Minimum 4 years LabVIEW development experience, NI certification a plus
• Excellent verbal and written communication skills
• Fast and eager at learning and applying new technology
• Exhibits high qualities of being a great team player

Helpful Skills:
• Strong hands-on hardware troubleshooting and software debugging skills
• Experience developing software with LabVIEW OOP (object-oriented programming)
• Experience with any of the following: Image Acquisition, Machine Vision and Motion
• Experience building effective User Interfaces with LabVIEW
• Experience using Packed Project Libraries in LabVIEW
• Perforce experience a plus
About Us *
FiberQA develops and manufactures automated testing and cleaning equipment for fiber optic end face connectors. We are a small company in a large market that requires that we continually develop new applications and test equipment for a wide and ever-changing variety of products and fiber optic connector types. We offer PTO, health insurance and a 401k plan.

Visit us at www.FiberQA.com to learn more about our company and our products.

Please send your current resumé and availability for a full-time salaried position at our office in Old
Lyme, CT. *_US citizens only_* .

FiberQA, LLC. Proprietary Information.
10 Vista Drive, Suite 101 | Old Lyme, CT 06371 | www.fiberQA.com

Job Type: Full-time

Pay: $80,000.00 - $90,000.00 per year

Benefits:
401(k)
Health insurance
Paid time off
Schedule:
Monday to Friday
Experience:
LabVIEW: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Location:
One location
Work Remotely:
No",1,"FiberQA
1.0","Old Lyme, CT",-1,1 to 50 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,Less than $1 million (USD),-1
5,Programmer,-1,"_*NOTE: A schedule combining time in the office and remote work may be available to satisfy training and business needs.*_

_*Responsibilities: *_

Design/improve/implement new/existing applications in collaboration with other developers/managers/employees. Participate in code design, specifications, implementation, integration and compliance testing to product rollout while handling new development and maintenance tasks. Interact directly with clients/vendors to secure project requirements that will be implemented by the team. Ability to administer an Oracle database for items not limited to:
installing and upgrading the database server and application tools,
allocating system storage and planning future storage requirements for the database system,
controlling and monitoring user access to the database,
planning for backup and recovery of database information, and
backing up and restoring databases.
_*Qualifications: *_
SQL
Oracle
PHP
Analytical/Problem Solving Skills
Software Development Fundamentals/Design
Excellent Verbal/Written Communication Skills
Ability to work independently and also contribute as a member of a team
B.S. in Computer Science is preferred
Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Referral program
Vision insurance
Schedule:
8 hour shift
Monday to Friday
COVID-19 considerations:
To keep our employees safe, we have: installed plexiglass barriers around workstations; limit meeting attendees; provide hand sanitizer and gloves; require masks; have provided remote work where appropriate; require daily health screening.

Experience:
Oracle: 1 year (Preferred)
PHP: 1 year (Preferred)
SQL: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work authorization:
United States (Required)
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",2.8,"Selip & Stylianou, LLP
2.8","Woodbury, NY",-1,51 to 200 Employees,1994,Company - Private,Legal,Accounting & Legal,Less than $1 million (USD),-1
6,Senior Software Engineer,-1,"Minimum Qualifications

Bachelor’s degree in computer science, information technology, or a related field or equivalent experience

Preferred Qualifications

3 years of experience in programming in Angular, Cocoa, Objective C, C#, HTML, .NET, PHP, Java, Progress or other programming languages
3 years of experience in software testing and design
3 years of experience in database management as it relates to software development
Proficiency in the Microsoft Office suite

Job Summary

The Senior Software Engineer uses various programming languages to develop, improve, test and/or maintain software that meets user needs. They mentor other software engineers, lead small development teams and act as an application owner. The Senior Software Engineer takes a lead role in design and code reviews, assists with delivery estimates and provides feedback about all aspects of the process.

Responsibilities

Design, develop or modify software and/or software systems by using various programming languages depending on the product and also taking the service architecture into consideration
Modify existing software to fix errors, improve the overall quality and functionality, or update integrations with other software
Analyze user needs to determine how software should be built or if existing software should be modified
Develop and/or perform software automated testing procedures, solutions and frameworks to ensure software functions as needed
Translate business requirements and specifications into usable and scalable software
Process and understand capabilities and limitations of data outputs from the software
Understand and assist with the technical infrastructure of an application or system
Troubleshoot performance issues
Lead design and code reviews
Lead delivery estimates
Determine and execute the software deployment process
Anticipate and communicate blockers, delays and cost ballooning within the team’s projects before they require escalation
Ensure expectations with the team and external stakeholders are clarified between all parties involved
Mentor other software engineers
Look for security vulnerabilities in coding
Participate in discussions about the team’s future vision and strategy

Who We Are

We're America's largest mortgage lender, closing loans in all 50 states. J.D. Power ranked Quicken Loans ""Highest in Customer Satisfaction in Primary Mortgage Origination"" for the past 10 consecutive years, 2010 - 2019. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for 6 consecutive years, 2014 through 2019, each year the company was eligible. There's a simple reason we've been so successful: We care about the people we work with.

If you're tired of stuffy, bureaucratic workplaces, then you'll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply won't find anywhere else. Quicken Loans was named #1 in ESSENCE Magazine's first ever list of ""Best Places to Work for African Americans"" in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last 5 years. We were also ranked #14 in FORTUNE Magazine's list of ""100 Best Companies to Work For"" in 2018, remaining in the top 30 for the past 15 years.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.9,"Quicken Loans
3.9","Detroit, MI",-1,10000+ Employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),-1
7,Master Software Engineer,-1,"At PRA Group, software engineers develop project design and coding to create customized solutions applying software engineering principles to support business needs. We are an industry leader, and these positions are for driven professionals who are willing to work in an agile software development environment.
PRA Group's corporate headquarters is established in Norfolk, Virginia and talent for these positions can be located within the markets of Norfolk and Richmond, Virginia. *
We strive for innovative success, and our engineers contribute to the following (but not limited to):
Design, code, test and implement applications using ASP.Net, C# that interact with managed MS SQL Server and Oracle databases.
Support of on-going and future software projects.
Self-manage individual project priorities, deadlines and deliverables
Effectively communicate, verbally and in writing, with staff, management team, vendors, and end users.
Participate in full development life-cycle from requirements gathering, estimating, design, development, and implementation.
Perform quality control, trouble shooting, code review and standard data validation practices prior to production release.
May teach and train other team members in relevant development concepts
Assist in the documentation and cataloging of developed software.
Responsible for ensuring compliance with applicable laws, regulations and company policies across areas of organizational responsibility
Our growing team allows you to work in a fun, professional, fast-paced environment where we support teaching and training of other team members in relevant development concepts, effectively collaborate with management team, fellow peers, vendors, and end users. Our environment encourages professional growth, and opportunities to switch teams and projects as our business advances.
We are searching for Senior to Mid-level experienced engineers who are passionate, ambitious with solid work experience with any of the following to enhance software solutions: *
Configuring and deploying applications using Microsoft stack
Public cloud experience with Azure or AWS
Continuous Integration tools
Continuous Deployment tools
API development using .Net in DevOps model
WCF, XML/ Web services
Developing RESTFUL APIs and JSON
ETL tools
TDD & ATDD
Qualifications include: *
Bachelor’s Degree in IT or related field preferred or the equivalent amount of related experience required.
Strong object-oriented programming skills and familiarity with software design patterns.
At least 7 years of experience developing software using ASP.NET, C#, Microsoft SQL Server 2008/2012, Oracle, WCF, XML/ Web services
At least 3 years of experience in developing and execute automated test scenarios, scripts for unit, integration, regression, and functional testing.
At least 3 years of experience with any ETL tools preferably Informatica.
At least 3 years of experience in Agile practices, TDD & ATDD
Preferred Qualifications:
Bachelor’s Degree or Master’s Degree in Computer Science, Engineering Or Information Technology
Very Strong object-oriented programming skills and experience with software design patterns.
At least 10 years of experience developing software using ASP.NET, C#, Microsoft SQL 2008/2012, Oracle, WCF, XML/ Web services
At least 2 years’ experience in developing RESTFUL APIs and JSON
At least 2 years’ experience working with two or more from the following: configuring and deploying applications using Microsoft stack, public cloud experience with Azure or AWS, open source Continuous Integration tools, open source Continuous Deployment tools and API development using .Net or Java.
Work Environment: *
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Job Type: Full-time

Experience:
Asp.Net: 7 years (Preferred)
C#: 7 years (Preferred)
Software Engineering: 7 years (Required)
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Flexible schedule
Schedule:
Other
Work Remotely:
Temporarily due to COVID-19",2.8,"PRA Group, Inc.
2.8","Richmond, VA",-1,1001 to 5000 Employees,1996,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable,-1
8,Software Engineer with OSIsoft Experience,-1,"Role: Software Engineer with OSIsoft experience

Reporting to: Global Head of Engineering/Project Manager

Status: Regular, Full-Time

Location: Philadelphia, PA. We are open to remote working options also.

About TQS Integration

TQS provides engineering services and product sales to clients in the Pharmaceutical, Chemical, Healthcare and Power industries. We are integrators of the PI System from OSIsoft (OSI). Our industry experience and the GMP critical nature of our software systems ensures that all software development and implementation is carried out in accordance with clients' strict quality system guidelines and compliance to FDA requirements for software validation and 21 CFR part 11. We have a broad client base in a mixture of Pharmaceutical, Oil & Gas, Power Generation and Food & Beverage industries. Our mission is to provide instantaneous data to our clients so that they can realize their full potential. If we take pride in our work, then that shines through on the quality of what we deliver. Our team is what makes our company a success and we want you to be a part of it!

The Role

Our team is made up of 170+ talented, enthusiastic and hardworking individuals who are based all over the world, working from our offices, client sites and remotely from their homes. We are looking for a candidate capable of providing technical support, integrating PI systems, completing documentation, and performing validation testing. This position offers flexibility and growth opportunities with different potential career paths within TQS Integration. This is a hands-on role where you will be given the platform to build a successful career with TQS, where your progression is rewarded, and different career paths open for you.

Key Duties / Responsibilities:

Integrate the PI System with SCADA, PLC, OPC, Continuous/Batch Historians, MES systems and DCS Based control systems
Implement, configure and troubleshoot OSI PI Interfaces including but not limited to OPC DA, PItoPI, RDBMS, UFL, EMDVB and SISBatch
Install and configure the PI System in redundant environments including but not limited to Interface Failover, PI Collective, Load Balanced AF Server, SQL AlwaysOn, Clustered Notifications and Analysis, Load Balanced PI Vision
Work with clients to understand, agree and implement technical requirements, in conjunction with TQS Team.
Draft PI Systems and GxPValidation document lifecycle, including installation/operational qualification and design specification with minimal supervision
Execute installation/operational qualifications across multiple projects
Provide resourcing estimates and technical configurations, of client quotations, to the Business Development Team.
Coordinate work with vendors and contractors, during project conception and implementation stages.
Manage smaller projects or a Project team from conception to completion.
Provide feedback on Junior engineers for performance evaluations.
Manage Project timelines in conjunction with the PM, ensuring the PM is informed of any potential changes to the project.
Anticipate and communicate issues involving quality and timeliness of project deliverables.
Understand and apply our quality policy statement in all aspects of your work.
Ensure that the needs and requirements of TQS Integration’s internal staff and customers are understood and delivered.
Help develop and improve TQS Integration’s internal processes and management system by reporting corrective actions, updates and improvement ideas.
Contribute to internal knowledge base about installation, configuration and troubleshooting of interfaces, in line with TQS standard and OSI recommendations.

Full clean driving license is preferred.
Undergraduate degree in IT, Automation, Science or Engineering, or related discipline.
Minimum of 24-48 months of experience in installing, configuring, and/or supporting PI Systems:
Configuring an interface
Setting up Interface failover
Creating a PI Collective
Configuring Buffering
Creating and editing PI Tags, asset structures
Familiarity with using basic IT concepts to support integration needs:
Ports
Service accounts
Command prompt
Windows Server
SQL
Strong drive for precision when installing, configuring, and documenting a system to specifications

Desired Skills and Qualifications

Level 100 & 200 OSIsoft Accredited or OSIsoft course certificates.
Experience with RtReports installation and configuration.

Installation and configuration experience in batch interfaces that use event frames.
Background in Life sciences, particularly pharmaceuticals.
Background in Automation including SCADA, PLC,OPC, Continuous/Batch Historians and DCS based control system.
Experience with SDLC, particularly in critical or GxP environment.
Familiarity with validation documentation.
Takes the initiative to solve problems and continually updates their own skillset

Experience in mentoring Junior staff.",3.5,"TQS Integration
3.5","Philadelphia, PA",-1,51 to 200 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
9,Software Engineer - TS/SCI Clearance Required Virtual Hiring Event,-1,"L3Harris Technologies Women in Business & Engineering Hiring Event

Event Details
Date: Wednesday, October 28, 2020

What We're Hiring For

Financial Analyst

MRO Program Manager – Level 3

Sr Power Supply Design Engineer

Lead Information Security Systems Engineer

Software Engineer - TS/SCI Clearance Required

Associate Software Engineer - C++ and Networking Technologies

PCB (Printed Circuit Board) Librarian

Systems Engineer

Sr Associate Field Programmable Gate Array (FPGA) Design Engineer

Lead Field Programmable Gate Array (FPGA) Design Engineer

Intake Details:

Requirements

Requirements vary by position.

Technical requirements

It is recommended to register prior to the event.

What to bring to this event

Resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Casual (come as you are, but please be presentable).

About L3Harris Technologies

Welcome! At L3Harris, we inspire excellence. Across air, land, sea, space and cyber domains, our customers perform on the world’s most challenging frontlines – and we are proud to employ innovators and problem solvers dedicated to delivering mission critical solutions our customers depend on. Our commitment to speed, innovation and flawless execution are matched only by our dedication to providing every employee with an inclusive environment with rewarding career opportunities. As a global technology innovator, L3Harris employs over 50,000 employees around the world, nearly 20,000 of whom are engineers.

From multi-domain communications, commercial aviation systems and intelligence, surveillance and reconnaissance systems to electronic warfare, space systems and maritime solutions – our technologies are helping change the way our customers meet their goals. We look forward to meeting you at our confidential virtual event!

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

L3Harris Technologies is currently seeking a Software Engineer, with a background and experience in embedded real-time software development. This position requires an individual to support existing, new and next generation military communications applications. An engineer in this position is responsible for leading projects, developing and managing schedules, providing responses to bid and proposals, deriving software requirements, adding features to current designs and creating the design and developing applications implementing these requirements.",3.5,"L3Harris Technologies
3.5","Salt Lake City, UT",-1,10000+ Employees,2019,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
