,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Software Development Engineer,-1,"Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.

Responsibilities include:

Protocol development of software on a real-time operating system, including design, and coding, as well as maintenance of software.

Requirements:

Must be strong in ‘C/C++’ and data structures programming. Good in operating system and networking concepts. Protocol development preferably, wireless experience, such as development on SGSN, GGSN, using GTP, charging protocols, RADIUS, Diameter IP and routing protocols is added advantage.

Responsibilities include:

1. Architecture of the functional modules for the Serving and PDN Gateway

2. Unit testing of features developed on Packet and Serving gateways

3. Maintenance of software developed, support and technical assistance

4. Should be able to mentor junior engineers in team.
Education and experience:

BSCS or BSCE with 8 years or MSCS or MSCE with 5 years.

MS in Computer Science or Elec. Eng. (with understanding of networking)

Familiarity with IP network protocols

Familiarity with UNIX based and real-time operating systems Strong C programming skills Experience in developing network protocols Experience in debugging and maintaining control plane software
Nokia is an equal opportunity employer that is committed to diversity and inclusion. At Nokia, employment decisions are made regardless of sex, gender identity or expression, sexual orientation, race, ethnic origin, color, creed, religion, national origin, citizenship, age, marital status, physical or mental disability, genetic information or ancestry, protected Veteran or military status, or other characteristics protected by law.

Apply now.",4.1,"Nokia
4.1","Sunnyvale, CA",-1,10000+ Employees,1865,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1
1,Software Development Engineer - Directory Services,-1,"We are looking for a passionate, experienced software development engineer to join us in building a new global directory platform used by millions of people.

This is an opportunity to build and operate highly-scalable and distributed systems in the cloud. You will be surrounded by people that are passionate about solving problems that promote company growth, and believe that great service is essential in customer success. The team is innovating and investing heavily to evolve the directory platform to address the needs of the future.

You will report to our Senior Engineering Manager located in our Bellevue office.

You Will:
Build robust distributed services and systems from inception through to production
Champion improvements in the quality and stability of live site and promote engineering best practices
Participate in all stages of product development
Dive deep into global-scale service issues and drive resiliency, latency, and product reliability
Demonstrate strong customer empathy, curiosity and willingness to question and learn
You Have:
2+ years software development experience
Proficiency with object-oriented programming languages such as Java
Familiarity with design patterns, RESTful APIs, storage systems, and cloud infrastructure
High enthusiasm and integrity with a deep desire to work collaboratively and solve problems
Legally eligible to work in the U.S. on an ongoing basis
BS in Computer Science, a related field, or equivalent industry experience
Perks & Benefits:
100% employer-paid medical, dental, and vision coverage for full-time employees
Equity - Restricted Stock Units (RSUs) Equity with all offers
Lucrative Employee Stock Purchase Program (15% discount)
401k Match to help you save for your future (50% of your contribution up to the first 6% of your eligible pay)
Monthly stipend towards your commute to work
15 days PTO to start, plus Flexible Sick Leave
Up to 24 weeks of Parental Leave
Personal paid Volunteer Day to support our community
Opportunities for professional growth and development including access to Audible for Business and LinkedIn Learning online courses
Company Funded Perks, including a counseling membership, primary care membership, local retail discounts, and your own personal Smartsheet account
Equal Opportunity Employer:

Smartsheet is an Equal Opportunity Employer committed to fostering an inclusive environment with the best employees. We provide employment opportunities without regard to any legally protected status in accordance with applicable laws in the US, UK, and Australia. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know.

At Smartsheet, we strive to build an inclusive environment that encourages, supports, and celebrates the diverse voices of our team members who also represent the diverse needs of our customers. We're looking for people who are driven, authentic, supportive, effective, and honest. You're encouraged to apply even if your experience doesn't precisely match our job description—if your career path has been nontraditional, that will set you apart. At Smartsheet, we welcome diverse perspectives and people who aren't afraid to be innovative—join us!",4.1,"Smartsheet
4.1","Bellevue, WA",-1,1001 to 5000 Employees,2005,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
2,Software Engineer II Virtual Hiring Event,-1,"Staples Virtual Hiring Event!

Event Details
Date: Thursday, October 22, 2020

What We're Hiring For

Software Engineer III

Software Engineer II

Benefits Analyst

Senior Digital & eCommerce Strategist

Intake Details:

Requirements

Review job specific requirements on Staples Retail Career Site (https://retailcareers.staples.com/)

Technical requirements

To attend the virtual hiring event, please ensure you're able to be on video via a computer or phone.

What to bring to this event

Resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Casual (come as you are, but please be presentable).

About Staples

Staples helps the world work better with work solutions that deliver industry-leading products, services and expertise across office supplies, facilities, breakroom, furniture, technology, promotional products, and print and marketing services. The company supports businesses of all sizes from sole-preneurs to the Fortune 100 and everything in between. Headquartered near Boston, Mass., Staples operates in North America. More information about Staples is available at www.staples.com.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

As a Software Engineer II for Staples, you will join an established technology team to help lead technical innovation within the Staples Digital Solutions division. You will be responsible for the design, development, testing, implementation, and support of applications and related integrations. You will partner with both technical and business teams on multiple initiatives and drive new features and enhancements.

Software Creation & implementation:

Develop in-depth knowledge of several Staples business processes and systems environment
Actively lead in the definition, design, development, testing and implementation of software functionality using the Agile methodology
Create, modify, and design complex programs, modules, routines, scripts and data objects from a detailed design where efficiency, performance and reliability are critical
Work with and advise both business and technology teams on how best to implement desired features and enhancements
Ensure that technical solutions follow best practices, are reliable, are easily maintainable and are scalable under sustained load
Full job description: retailcareers.staples.com",3.2,"Staples
3.2","Framingham, MA",-1,10000+ Employees,1986,Company - Private,Office Supply Stores,Retail,$10+ billion (USD),-1
3,Software Engineer Virtual Hiring Event,-1,"ASRC Federal Hiring Event!

Event Details
Date: Thursday, October 22, 2020

What We're Hiring For

Software Engineer

Intake Details:

Requirements

4-8 years' experience in software development, maintenance, or support of large-scale software programs

Technical requirements

The interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the video interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.

What to bring to this event

Resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Casual (come as you are, but please be presentable).

About ASRC Federal

ASRC Federal is the government services subsidiary of Arctic Slope Regional Corporation, an Alaska Native Corporation owned by 13,000 Iñupiat shareholders. ASRC Federal is a family of companies that provides a wide array of services to a broad base of federal government agencies, covering 44 states, districts, and territories. Our team of roughly 7,000 ASRC Federal employees serve both within our offices and on client sites with over 40 percent in technical roles, such as engineering and IT.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

ASRC Federal Mission Solutions is a premier provider of systems engineering, software engineering, system integration and project management services for real-time, mission-critical defense systems. We are seeking highly motivated principal level Software Engineers to support the development and sustainment of the U.S. Navy Aegis Weapons System in Moorestown, NJ.

Responsibilities: Work in a collaborative team using agile software development methodology, performing the following tasks: Participates in software requirements review, preliminary and critical design reviews, integration readiness review, and software acceptance reviews. *Researches problems and develops solutions.

ASRC Federal and its Subsidiaries are Equal Opportunity / Affirmative Action employers.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected veteran status.",3.4,"ASRC Federal
3.4","Moorestown, NJ",-1,5001 to 10000 Employees,2003,Company - Private,Federal Agencies,Government,$500 million to $1 billion (USD),-1
4,Software Safety Engineer,-1,"Software Safety Engineer- *Huntsville, Alabama, United States
APT Research Inc., is currently seeking a Software Safety Engineer in Huntsville, Al.

This position will lead and perform software safety engineering for a major DoD program, to include:
Performing tasks focused on the development of software safety analysis, test, and contribution to potential safety risk
Identifying, documenting, and tracking resolution of software safety requirements and changes
Performing peer reviews of software safety documentation and analyses including, but not limited to, Safety Assessment Reports (SAR), Functional Hazard Analysis (FHA), Fault Tree Analysis (FTA), etc.
Performing peer review analysis of code written in programming languages, such as C++ or Ada
Developing and coordinating presentations for required technical review boards and internal change boards
Familiarity with MIL-STD-882E, AR700-142, and AMCOM 385-17 required
Required Minimum Education/Experience:

Education: A Bachelor of Science (BS) degree from an accredited college or university in an engineering, scientific, or technical discipline.

Experience: Seven (7) years of professional or operational experience in systems engineering for DoD weapon system programs with two (2) years of qualified experience as a System Safety Engineer.

Desired or Preferred Knowledge, Skills, Abilities:
Experience performing the specific tasks described above
Required:

· Familiarity with MIL-STD-882E, AR700-142, and AMCOM 385-17

Security Clearance Requirement (applicants selected for positions requiring a Security Clearance will be subject to a security investigation and must meet eligibility requirements for access to classified information): Secret or higher

Essential Functions

Work Environment:

Office environment. Requires ability to provide clear, concise, accurate and timely communication, both verbally and in writing (100%). Requires ability to interact professionally with co-workers, management, and client (100%). Requires travel in the domestic USA (< 15%).

Physical Requirements

Requires sitting for extended periods of time (100%). Include whether requires ability to lift so many lbs. or any special requirements…..etc…

Other Essential Functions

The ability to work independently with minimal supervision, make rational decisions, and to exercise good judgment is essential (100%). Grooming and dress must be appropriate for the position and must not impose a safety risk/hazard to the employee or others.

About A-P-T Research

A-P-T Research, Inc., is an engineering services company with employees who combine excellence in their disciplines with enthusiasm, versatility, and willingness to “pitch in” wherever needed to support customers, and to perform the many functions of a small company. Employees share ownership in the company and participate in corporate planning and operation. We are both motivated and empowered to provide optimum, flexible support to customers.

Since APT’s incorporation in June 1990, the officers have carefully and deliberately built the company’s strong technical and administrative infrastructure. Experienced engineers have been chosen to lead project areas, policies and procedures have been developed to address the diverse aspects of contracting and administration, and support personnel have been selected to fill specialty roles. APT proudly continues to provide top-quality services to satisfied and loyal customers.

APT is an employee-owned company specializing in conducting safety analyses for the U.S. Government. APT offers competitive salaries, advancement opportunities, and excellent benefits.

APT Research is an Equal Opportunity/Affirmative Action Employer – Minorities/Female/Disabled/Veterans. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or other characteristics protected by law. We encourage veterans, disabled veterans and disabled individuals to apply for any open position for which they feel they are qualified. APT Research Inc. is a background screening, drug-free workplace.

Accessibility

APT is committed to expanding access to employment for people with disabilities and disabled veterans. If you are a qualified individual with a disability or a disabled veteran, and your disability prevents you from applying, please advise what reasonable accommodation APT can provide to assist you in applying for one of our open positions.

Reasonable accommodations are considered on a case-by-case basis. Please note that only those inquiries concerning a request for reasonable accommodation for applying for a specific posted position will be responded to. Requests will be kept confidential and shared strictly on a need-to-know basis.

HM: CK

Requisition Number: 2020-48

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Experience:
Related: 7 years (Required)
Education:
Bachelor's (Required)
Security Clearance Required:
Secret (Required)
Work Remotely:
Temporarily due to COVID-19",3.7,"APT Research, Inc.
3.7","Huntsville, AL",-1,51 to 200 Employees,-1,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),-1
5,"DCGS-A Software Engineer, Intermediate",-1,"Secure our Nation, Ignite your Future

Currently, ManTech is seeking a motivated, career and customer-oriented Software Engineer, Intermediate to join our team in Aberdeen Proving Ground, Maryland.

Responsibilities include, but are not limited to:

Provide functional and empirical analysis related to the design, development, and implementation of software systems, including, but not limited to application software, utility software, development software, and diagnostic software.
Participate in the development of test strategies, devices, and systems.
Solve engineering problems, or manage the solution of engineering problems.
Systems engineering – responsible for system requirements, design, documentation, risks, quality
System documentation (Engineering artifacts, contract artifacts, requirements traceability, manuals)
Assist in the definition and programming of moderately complex software
Work effectively on several phases of systems/software programming/analysis with little direction, but may require some instruction and guidance for other aspects
May support system/software test design, engineering evaluation, configuration management

Basic Qualifications:

BA/BS in Electronics Engineering or any other Scientific or Technical discipline.
Must be able to provide software development experience, functional and empirical analysis related to the design, development, and implementation of software systems, including, but not limited to application software, utility software, development software, and diagnostic software.
Experience with at least one programming language, ECT c#, Java, Python, Ruby
Must be able to participate in the development of test strategies, devices, and systems.
Demonstrated initiative, sound judgment, effective decision-making, and excellent oral and written communication skills
Creative problem solver to devise solutions using test systems/tools, company or customer furnished computer systems and equipment or commercial off-the-shelf packages
Plans, develops, implements tests, and customizes software test servers and tools
Continues to improve technical expertise through the identification of new processes and technical alternatives to resolve problems and/or general improvements

Preferred Qualifications:

Experience with Eggplant, Maven, Puppet, Less, PHP, HTML, Jenkins, and Git

Security Clearance Requirements:

TS SCI Clearance Required

Physical Requirements:

Must be able to remain in a stationary position 50%

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech International Corporation
4.2","Aberdeen Proving Ground, MD",-1,5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
6,Instrument Controls Computer Hardware Software Engineer,-1,"Job Number: *WFS-2020-95
Job Title: *Instrument & Controls Computer Hardware/Software Engineer
Supervisor: *
Status: *Full Time
Location: *WIPP / Carlsbad, NM
CONTINGENT UPON CONTRACT AWARD*
_Per Diem is available for those who qualify_*
For consideration, please include a resume clearly outlining your experience and qualifications and provides a minimum of three professional references. If your experience meets job requirements, we will contact you for additional application process steps.

Waséyabek Federal Services, LLC (WFS) is a subsidiary of Waséyabek Development Company, LLC (WDC), providing services to the Federal marketplace. WDC is a legal entity, created and wholly owned by the Nottawaseppi Huron Band of the Potawatomi (NHBP), a Federally recognized Indian Tribe. WDC is committed to fostering the development of a stable, diversified economy for members of the Band which will contribute to their long-term wealth and economic self-sufficiency while managing risk and creating quality employment opportunities.
JOB DUTIES
Assume responsibility for completion of detail phases of assigned projects under direction of project/and cognizant engineering
Provide detailed solutions to assigned engineering problems
Make engineering and design calculations applying basic engineering principles, theories and concepts
Prepare technical reports and other technical documents such as procedures and operation and maintenance manuals
Prepare cost estimates related to assigned technical projects; prepare engineered work packages under supervision for construction or modification of equipment and facilities
Analyze specific equipment or system failures of limited scope and recommend repairs, modifications, or appropriate corrective actions through application of basic engineering principles
Provide general functional requirements to perform basic design of new equipment/systems or modification of existing equipment/systems
Provide engineering support to other groups
Make technical presentations
MINIMUM QUALIFICATIONS
Ten (10) years I&C and HW/SW Engineering experience in design, systems or programs engineering, OR Six to Nine (6-9) years I&C and HW/SW Engineering experience with engineering application experience.
Bachelor’s degree in Engineering (Instrumentation, Control, and Automation) or related engineering discipline, with work experience in I&C and HW/SW Engineering required.
Relevant job experience in lieu of the education requirements may be considered on a case-by-case basis, with specific customer approval.
DOE experience, preferred
Specialty areas include
Process Computer
Process Controls
Data Acquisition
Nuclear instrumentation
Control Room Displays
Control room distributed controls systems
Instrumentation Calibrations and refurbishments
Substantial equipment replacements and refurbishments
Thorough understanding of engineering principles, theories and concepts and microcomputer applications
Ability to deliver oral presentations to convey technical findings and recommendations
Ability to write, clear, concise and organized memos and reports
JOB REQUIREMENTS
Sound communication skills to effectively interface with internal and external customers
Able to work well in the field and take ownership of assigned system equipment mechanical and electrical control systems
Able to work with groups to provide overlapping support to other engineers while possibly working on several assigned tasks
Able to clearly communicate technical information to non-technical personnel both verbally as well as in writing
Able to expand skill set beyond own discipline to include understanding of control systems, interfaces with other electrical, mechanical, and structural systems
Able to work in an industrial and construction site environment including walking over uneven surfaces, in the underground mine, and over long distances with periods of standing
HIRING PREFERENCE
Native American & Veteran Hiring Preferences will be applied in accordance with WFS policy.

Waséyabek Federal Services is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class.

Job Type: Full-time

Pay: $10.00 - $100.00 per hour

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Experience:
I&C HW/SW Engineering: 10 years (Required)
Education:
Bachelor's (Required)
Work authorization:
United States (Required)
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Company's website:
www.wfedservices.com
Work Remotely:
No",-1,"Waseyabek Federal Services, LLC","Carlsbad, NM",-1,-1,-1,-1,-1,-1,-1,-1
7,Software Engineer - Adobe Multi Solutions - Remote,-1,"Pay Range: $78,312 - $97,107 annually

Applicants for this position can work remotely from their home! Applicants must live in Nebraska, Kansas, Iowa or Texas however due to store locations and tax purposes.

At NFM, we’ve been hiring friends since 1937—people who share our passion for helping customers feel right at home. If you share our vision, we invite you to be one of us!

People love working here! Glassdoor ranked Nebraska Furniture Mart in the top 50 Best Places to Work in the U.S. and here are a few reasons why:

A FUN, stable work environment, with no lay-offs in our history
A safe place to work and shop
A path to the career of your dreams (career development opportunities)
A culture that encourages volunteering and serving our communities

Job Description: Your Piece of the Puzzle

NFM’s Adobe Multi-Solution Engineer is responsible to be the subject matter expert for Adobe Campaign Standard and other Adobe Experience Cloud Products and Services such as Launch and Analytics. The primary responsibility will be to translate business requirements for these tools into custom implementations by using a combination of custom JavaScript, data layer objects, processing rules, report suite configurations and technical workflows.

Job Duties: A Day in the Life

Plan: Gather and understand unique business requirements and implement the desired solutions
Research: Proactively identify, analyze, and position opportunities to improve digital analytics front-end implementation based on internal and external data
Collaborate: Coordinate final project quality analysis, reporting, transferring of reporting knowledge, provide close-loop communication within the organization including creating senior executive dashboard
Create: Perform extensive testing, create queries to extract and validate segment data and sizing or perform quality analysis testing to validate project test data
Design: Setup new SProps and eVar through Adobe Analytics
Optimize: Act as the owner of Adobe Launch and coordinate with the web-dev team to realize tagging

Your work will directly impact our ability to help people create a lifestyle they love, for the people they love—because that’s what we love.

Benefits: What’s in It for You?

As a full-time member of our NFM Family, you will enjoy:

Competitive pay
Health, dental, vision and life Insurance
Paid holiday and paid time off
Staff discount on merchandise
(Collectively, NFM staff has saved almost $2 million on purchases in the last 12 months)
Tuition reimbursement
Paid training
401(k) with company matching
Short and long-term disability
Employee assistance program
Career development and advancement opportunities
Community volunteer opportunities

NFM is an Equal Opportunity Employer.

Experience
Required
• Bachelors’ Degree in Computer Information Systems, related field required or equivalent experience
• 1+ year of hands on Adobe Campaign Standard experience or 3+ years of marketing campaign development experience on a tool equivalent to Adobe Campaign Standard (Salesforce Marketing Cloud, Cheetahmail, …)
• At least 2 years of experience in software development life cycle
• At least 1 year of experience in translating functional/non-functional requirements to system requirements
• Expertise and Experience in SQL (Oracle / SQL Server / PostgreSQL)
• Experience working with/creating APIs
• Strong understanding of tag management systems and platforms (Adobe DTM/Launch, GTM, Tealium, Ensighten, etc…)
• Excellent understanding of analytics and tag management best practices, including workflows and planning
• Outstanding project management skills with proven experience managing end-to-end projects including managing budget, timelines/milestones, multiple partners and deliverables
• Demonstrated ability to manage simultaneous projects in a fast-paced environment
• Estimation abilities in scoping work in a highly complex environment
• Must be able to work independently and collaboratively (team oriented) with an enthusiastic attitude
• Strong interpersonal, communication and influencing skills
• Problem analysis and problem resolution at both a strategic and a functional level
• Ability to work nights, weekends and/or early morning hours based on business needs
• Pre-employment screening includes, but isn’t limited to, drug screen and criminal background check
Preferred
• Proficient in Adobe Launch
• Experience migrating Tag Management Systems
• Experience with on-demand reporting/Analysis/business intelligence tools, including Tableau, etc…
• Experience with Commerce Cloud
• Experience with Adobe Campaign, Adobe Target, or other Adobe Solutions (Audience Manager, AEM)
• Experience with Agile development philosophy, practices, and tools
• The right mix of experience in Marketing and Technology is highly desirable
• Adobe Analytics Certification – Certified Expert, Business Practitioner; Certified Expert, Technical Architect
• 2 years of technical workflow development experience in Adobe Campaign Standard and 4 years in a related tool (Salesforce Marketing Cloud, Cheetahmail, …)
• 3+ years’ experience with Web Analytics Tools
• 2 years+ experience in JavaScript and Various JavaScript libraries and Experience in Workflow (Import, export, maintenance, data extraction)
Education
Preferred
Bachelor's Degree or better in Computer Science or related field",3.3,"Nebraska Furniture Mart
3.3","Clive, IA",-1,1001 to 5000 Employees,1937,Subsidiary or Business Segment,Home Furniture & Housewares Stores,Retail,$1 to $2 billion (USD),-1
8,Software Engineer III Virtual Hiring Event,-1,"Staples Virtual Hiring Event!

Event Details
Date: Thursday, October 22, 2020

What We're Hiring For

Software Engineer III

Software Engineer II

Benefits Analyst

Senior Digital & eCommerce Strategist

Intake Details:

Requirements

Review job specific requirements on Staples Retail Career Site (https://retailcareers.staples.com/)

Technical requirements

To attend the virtual hiring event, please ensure you're able to be on video via a computer or phone.

What to bring to this event

Resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Casual (come as you are, but please be presentable).

About Staples

Staples helps the world work better with work solutions that deliver industry-leading products, services and expertise across office supplies, facilities, breakroom, furniture, technology, promotional products, and print and marketing services. The company supports businesses of all sizes from sole-preneurs to the Fortune 100 and everything in between. Headquartered near Boston, Mass., Staples operates in North America. More information about Staples is available at www.staples.com.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

As a Software Engineer III for Staples, you will join an established technology team to help lead technical innovation within the Digital Solutions division. You will be responsible for the design, development, testing, implementation, and support of applications and related integrations.

Software Creation & implementation:

Develop in-depth knowledge of several Staples business processes and systems environment
Actively lead in the definition, design, development, testing and implementation of software functionality using the Agile methodology
Create, modify, and design complex programs, modules, routines, scripts and data objects from a detailed design where efficiency, performance and reliability are critical
Work with and advise both business and technology teams on how best to implement desired features and enhancements
Ensure that technical solutions follow best practices, are reliable, are easily maintainable and are scalable under sustained load
Create and evolve application documentation as required
Full job description: retailcareers.staples.com",3.2,"Staples
3.2","Framingham, MA",-1,10000+ Employees,1986,Company - Private,Office Supply Stores,Retail,$10+ billion (USD),-1
9,Software Developer,-1,"Summary
The Software Developer’s role is to design, code, test, and analyze software systems and applications. This includes researching, designing, documenting, and modifying software specifications throughout the production life cycle. The Software Developer will also analyze and amend software errors in a timely and accurate fashion, and provide status reports where required.

Duties and Responsibilities
Develops new applications and software systems based on pre-existing specifications.
Maintains and modifies existing systems and applications.
Performs testing and code reviews of proposed changes by fellow developers.
Writes and maintains clear and concise documentation of new and existing systems.
Communicates with users to gain understanding of needed modifications to existing programs and processes.
Provides occasional on-call support and problem resolution of software issues and performs initial diagnosis of hardware issues.
Maintains a broad knowledge of modern development practices, relevant languages, and frameworks.
Knowledge, Skills and Experience Required
• Passion for problem solving.
• Strong knowledge of one or more programming languages and the ability to learn new languages.
• Ability to write clear technical documentation.
• Ability to write SQL Queries against complex database structures and to format and generate reports as requested.
• Ability to effectively communicate with and interpret the operational requirements of end users.

Minimum Job Requirements
Bachelor’s Degree in Computer Science (or related field) or equivalent experience.
Experience developing and maintaining software.",3.0,"Marten Transport
3.0","Mondovi, WI",-1,1001 to 5000 Employees,1946,Company - Public,Trucking,Transportation & Logistics,$500 million to $1 billion (USD),-1
