Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Full-Stack Engineer,-1,"Who We Are

WillowTree is an award-winning digital product agency driven by innovation and grounded in strategy and user-centered design. We create long-term partnerships with the world's leading brands to design and build digital flagship products crucial to their core business. We are one of the largest independent digital firms in the US. Some of our clients include HBO, National Geographic, Anheuser-Busch, and PepsiCo.

The Opportunity

As a Senior Full-Stack Engineer at WillowTree, you'll have the opportunity to impact teammates throughout various stages of their careers. You'll have clear oversight of how engineering runs day-to-day and will influence project outcomes.

We understand our responsibility to create a diverse, equitable, and inclusive place within the tech industry, while pushing to make our industry more representative. Because of this responsibility, we need candidates who value diversity and inclusion through their work, team collaboration, or mentorship. So in your cover letter, we encourage you to reflect on diversity, equity, and inclusion.
This is not a remote position and may require some travel. Currently, all team members are working from home until our offices reopen.
Responsibilities
Lead the delivery of large and complex software projects from beginning to end in a team-based environment
Confidently deliver high-quality software by applying critical thinking to products, requirements, and processes
Work closely with clients to influence technical product decisions and business goals
You'll stay up to date with the landscape of software engineering best practices, tools, and frameworks
Understanding of various software architectures and can adapt and compose solutions to unique problems with sustainable and reusable solutions
Mentor a larger team towards shared goals and outcomes
Navigate difficult conversations by providing constructive feedback to teams and clients
You'll identify obstacles to ensure quality, improve our user experience and how we build software
Self-aware of limitations, yet curious to learn new solutions and receptive to constructive feedback from teammates
You'll guide your team to understand and work through changing priorities by bringing positive energy
Communicate and simplify complex problems in order to foster understanding across multidisciplinary teams
Apply your knowledge and findings at an organizational scale
You'll travel onsite to meet with our clients about one week per month
Qualifications
Able to evaluate and articulate which framework to use for a particular project
Can articulate how users perceive performance and how to optimize their needs
Understanding of the pros and cons of server-side and client-side rendering
Experience as a technical leader to a team of web developers that have built and delivered a large web application
Built and deployed complex software at scale involving at least one of our core technologies (iOS, Android, Web Apps, API Engineering)
Owned and led the delivery of major features and components
Worked with clients and stakeholders (consulting experience, ability to have difficult conversations or solve and advocate for best practices)
Empathetic to client needs and desire to contribute sound recommendations on technical architecture and design
Leadership or mentorship experience
Can present complex ideas to clients and team members in a compelling and energetic way
Proficiency using, modifying, and creating development tools that foster efficiency and improve process
You consider 'big picture' perspectives and can successfully balance business goals and technical constraints
Bonus Points
You've conducted interviews and have hired for your team
Expertise with advanced automation tools (e.g. virtualization, machine learning-based testing, massive parallelization)
Basic understanding of how to design RESTful APIs that are optimized for responsive, interactive mobile experiences
Appreciation of pixel-perfect UI implementations
A list of emerging technologies we're interested in: Big Data, Machine Learning, Voice, AR/VR, Security Background, and IoT
You have code samples or a GitHub account to share and while you're there, check us out!

Even if you don't have expertise in all of the qualifications listed, we value new perspectives and backgrounds and encourage you to apply. We're committed to building a diverse company that reflects the diversity of our users. We're committed to growth-mindset.

Why WillowTree?

We offer a place to be yourself.

Our differences, both visible and invisible, benefit our teams, our communities, and the products we craft. That's why WillowTree strives to build a team with diverse backgrounds, skills, and perspectives. You'll work hard here; however, we'll balance that with a culture that supports your growth and cares about your well-being. We're committed to creating an environment of inclusion — a place where every Tree can thrive.

We want you to reach your fullest potential and part of your professional development at WillowTree will include dedicated time to innovate on passion projects and an annual stipend to fund your professional pursuits.

WillowTree celebrates our differences and provides equal employment opportunities to all team members and applicants without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. Diverse teams build better products. We acknowledge that the tech industry especially lacks opportunity for those who are of non-traditional backgrounds and in underrepresented groups. In order to create the best products for everyone, we know that it's important for our team to reflect the diversity of our users, and we are committed to being the change we want to see.",4.9,"WillowTree
4.9","Charlottesville, VA",-1,501 to 1000 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1
"Front End, Back End and Full stack Developers and Database Developers. Virtual Hiring Event",-1,"Software Developer Virtual Career Chat

Event Details
Date: Thursday, October 29, 2020

What We're Hiring For

Front End, Back End and Full stack Developers and Database Developers.

Intake Details:

Requirements

Applicants must be authorized to work for any employer in the U.S.

Technical requirements

How does a virtual event work?
Register: Create a Brazen account (name, email, password) and complete the registration form
Explore: View information about SAIC and career opportunities
Attend: Log into your Brazen account and join the chat from any device, at any time
Chat: Participate in 1-on-1 chats with our hiring team
What to bring to this event

Explore our NEW careers page: jobs.saic.com

What to wear

Dress code is whatever you want! There is not a video feature for this event..

About SAIC

SAIC® is a premier Fortune 500® technology integrator driving our nation’s digital transformation across the defense, space, civilian, and intelligence markets. Our offerings include high-end solutions in engineering, IT modernization, and mission solutions. Headquartered in Reston, Virginia, SAIC has approximately 25,500 employees and annual revenues of about $7.1 billion.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

As part of our team, responsibilities may include:

Supporting the planning, requirements, design, development, testing, deployment, and maintenance of high performance, innovative software applications
Integrate best practices in software design, development and deployment
Implement high quality, secure and maintainable code using standard software design patterns and best practices
Troubleshoot software problems and provide solutions to overcome those problems using the latest technologies
Work in team environments across a diverse set of projects with multiple stakeholders",3.9,"SAIC
3.9","Albuquerque, NM",-1,10000+ Employees,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),-1
Full Stack Rails Developer,-1,"Come join Bicycle Technologies International (BTI) as a full-time Full Stack Ruby on Rails Developer, supporting our operations in New Mexico and Nevada. Interaction with IT, sales, administrative, warehouse, and purchasing staff via teleconferencing is essential in this role.

The position will be based Santa Fe, NM. With over 300 days of sunshine each year, Santa Fe offers ample access to outdoor recreation and culture year-round.

Benefits include paid time off, health and dental premiums covered 100% by BTI, and a 401K funded by BTI at 3%.
Responsibilities*
Work closely with IT staff to design, develop, test, and document new software systems, refactor, expand, and maintain existing systems
Work with company staff or other involved parties on designing new software
Required Skills*
Self-motivated
Proficient in Ruby
Proficient in Rails
Proficient in HTML
Proficient in CSS
Proficient in Javascript, jQuery
Proficient in Structured Query Language
Proficient with MSSQL OR two other DB engines
Strong interpersonal and communication abilities
Strong command of the written English language
Comfortable working in both Windows and \*nix server environments
Experience with a version control system such as GIT or Subversion
Understanding of and adherence to web standards
Willing and eager to learn and teach new approaches and technologies
Desired Skills*
Proficient in visual design including a strong grasp of typographical principles and negative space
Strong experience in user interface/interaction/experience design and information architecture
Responsive/mobile web design
Experience with Sass
Experience with Elasticsearch and Kibana
SPA development in AngularJS or similar
Experience with the Ruby on Rails Asset Pipeline
Experience with Bootstrap
Experience designing, deploying, and maintaining high volume web applications
PLEASE NOTE: * Although this position includes opportunities to work from home, we are not currently considering candidates who wish to live outside of New Mexico. BTI will cover 50% of reasonable and necessary moving expenses.
Job Type: Full-time

Pay: $60,000.00 - $85,000.00 per year

Benefits:
401(k)
Dental insurance
Employee discount
Health insurance
Paid time off
Parental leave
Professional development assistance
Relocation assistance
Schedule:
Monday to Friday
Experience:
relevant: 2 years (Preferred)
Location:
Santa Fe, NM 87508 (Preferred)
Language:
English (Required)
Work authorization:
United States (Required)
Work Location:
One location
This Job Is:
Open to applicants who do not have a college diploma
Company's website:
www.bti-usa.com
Company's Facebook page:
https://www.facebook.com/BTIUSA/
Benefit Conditions:
Waiting period may apply
Work Remotely:
Yes",-1,Bicycle Technologies International,"Santa Fe, NM",-1,-1,-1,-1,-1,-1,-1,-1
Senior Full Stack Engineer (Enterprise),-1,"Senior Full Stack Engineer
(Enterprise)

About Codazen

Codazen is a fast-growing digital agency that builds, designs and engineers disruptive technologies for influencer brands. Our lean teams partner with some of the world’s powerhouse companies, like Facebook and Oculus, to create transformative digital experiences. Our culture is the secret of our successful long-term partnerships. We cultivate humble experts that share the same passion for innovation, usability, and performance.

Our Enterprise Practice specializes in understanding our customers business challenges and provides workflow and customized solutions to tackle them. We build smart technologies with a focus on reusable and configurable software systems. Our high-value services deliver innovative low-code/no-code solutions that allow customers to manage their business needs. Our Enterprise Practice is cross-functional and may include working with: * Digital Products * UX & Creative Design * Platform engineering * System integration (e.g. CMS, E-commerce).

Summary

The Senior Full Stack Engineer is responsible for the software development of complex projects for high-profile clients. Must be a driven self-starter and feel comfortable working in a highly collaborative, cross-functional environment, demonstrating an open-mind and a propensity for developing strong team relationships and can easily adapt within a fast-paced and constantly changing environment. We’re looking for team player that strives to innovate, holds exceptionally high standards for his/her work, genuinely enjoys working with a solid, talented team and has a good sense of humor.

Role Requirements

• Build high-performance, web-based applications
• Implement HTML layouts in React/JSX based on wireframes
• Implement CSS to style components based on style guide and design comps
• Build secure, scalable APIs using GraphQL
• Participate in design of database models
• Build application features in a fast-paced environment
• Provide code reviews

Qualifications

• Minimum of 5-7+ years experience building web-based software or enterprise-level web sites
• Excellent interpersonal and teamwork skills
• A passion for creating high quality software and user experience
• B.S. in Computer Science or related program at an accredited college or university, or equivalent practical experience
• An appreciation for the importance to strike a balance between getting code out quickly and following best practices. We move fast, but we like to build good software and manage risk carefully.
• Excellent communicator: comfortable explaining technical problems in person and in writing.
• Strong sense of responsibility and ownership; you will have come from an environment in which people are responsible for their own code.
• Deeply understand what drives the business for which you are building software. We firmly believe that what separates a good developer from a great one is a deep understanding of the business that they are supporting.
• Work with your QA resources to ensure that the software you deliver is of the highest quality.
• Act as a key member of the product launch team and work closely to DevOps to resolve operational issues.
• Work on an elite and passionate team to create software that moves our business forward.
• Evaluate emerging technologies to identify opportunities, trends and best practices that can be leveraged to strengthen our platform and development practices.
• Willingness to take an active role in mentoring other developers.

Plus

• Experience working on highly trafficked, high-profile websites
• Experience with Adobe Creative Suite
• Experience with JIRA and Confluence, or similar
• Certifications

WHAT CODAZEN OFFERS

• Competitive salary
• Health, dental, vision
• 401k (with company contribution)
• Income protection plans (life, accidental death and dismemberment, short- and long-term disability)
• Free drinks and snacks
• An incredible leadership team that cares about your development
• Fun, smart, diverse colleagues

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class.",4.3,"Codazen
4.3","Salt Lake City, UT",-1,51 to 200 Employees,2007,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
Full Stack .Net Developer,-1,"Title of Position: Full Stack .Net Developer

Department: IT

Overall Responsibility:
Develop and maintain software products using the Microsoft technology stack (.Net).
Troubleshoots and diagnoses reported problems and work to understand and correct problems.
Experience in performing requirement analysis, architecture, design, development, testing and deployment.
Team-oriented thinking with demonstrated ability to produce high-quality work as part of a fast-paced, dynamic team.
Review project requirements and provide feedback to managers.
Reports progress and results to staff and management in a timely manner.

Term: Direct Hire

Design, develop, test, maintain and modify software programs according to specifications, verifying logic, performing necessary debugging, and writing related documentation.
Analyzing user specifications and requirements that reflect business program needs, and subsequently delivering high-quality software solutions that meet those needs.
Critically review programs prior to implementation to verify consistency and conformance with established IT guidelines, policies, and practices as well as industry standard guidelines.
Experience in healthcare is a plus.

Qualifications
Bachelor’s Degree in Computer Engineering, Computer Science or related field preferred or experience in lieu of degree.
3 plus years of experience in ASP.Net, C#.
Hands-on experience with HTML5, CSS, Javascript, AngularJS and GIT
High proficiency in SQL, SSIS, SSRS
Understanding of object-oriented design and development, design patterns and software development best practices.
Thorough understanding of the software development lifecycle (SDLC)
Excellent verbal and written communication skills, with proven technical writing abilities.
Proven ability to collaborate with cross-functional and interdepartmental teams.

We are seeking someone with a good level of curiosity. Someone who can solve problems, ask questions about why something is broken, takes initiative. Thinks beyond what’s in front of them. Self- sufficient, resourceful.

Job Type: Full-time

Pay: $55,000.00 - $80,000.00 per year

Benefits:
401(k) matching
Dental insurance
Disability insurance
Flexible schedule
Health insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Experience:
.NET: 2 years (Required)
angular: 2 years (Required)
javascript: 2 years (Required)
SSIS : 2 years (Required)
SQL: 2 years (Required)
C# : 2 years (Preferred)
ASP.Net: 2 years (Required)
Work authorization:
United States (Required)
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Innovative -- prefers working in unconventional ways or on tasks that require creativity
High stress tolerance -- thrives in a high-pressure environment
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",1.0,"TriQuest
1.0","San Antonio, TX",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Full Stack .NET Engineer,-1,"Job Description: *
At Level2, our mission is remission for people with type 2 diabetes. Level2 is an all-new, personalized digital care experience complete with coaching and clinical care, and informed by the latest in diabetes technology/wearables. With real-time information on how food, movement, stress, and sleep all impact glucose levels, Level2 helps people make small changes for big impact.

Level2 is looking for an experienced .NET Engineer to add to our growing team. The ideal candidate will have a passion for technology, in-depth full stack C# .NET and .NET Core software development experience, and a knack for mentoring and energizing others. The candidate will have a documented history of exercising their computer science skills across multiple platforms including well-known Microsoft stacks in multi-cloud environments
Responsibilities*
Ensure 360-degree observability within systems
Rapid prototyping within an Agile methodology
Work with product owners, designers, and engineers to prototype and implement product feature.
Develop functional code for features on multiple platforms and products.
Develop unit tests and integration test
Implement complex code based on guidance provided by lead engineer on initiative(s).
Review existing platform for optimization opportunities.
Provide analytical advice in identifying and implementing new IT technologies in order to help clients and the company reach strategic objectives.
Estimation of detailed design and development efforts and adhering to development timelines specified in the roadmap.
Utilization and promotion of engineering best practices and code quality standards
Expert usage of design patterns and dependency injection
Required Qualifications*
4 + years experience with .NET
1 + year(s) experience with Agile, Continuous Integration and Continuous Delivery
Experience with relational and non-relational database technologies
Microsoft .NET technology stack: C# / .NET, .NET Core, Web APIs
Development Operations experience with Git
Automated Testing: Unit test development, Integration test development
Preferred Qualifications*
Bachelor’s degree in Computer Science or a related field, or higher
Experience working in a HIPAA regulated environment
Experience with microservice containerization and orchestration
Database automation technology: Liquibase
Cloud Programming: Lambda/Azure Functions, Aurora, EKS, S3/Azure Blob3, Elastic Search, AWS Cognito
Experience with Jira, Azure DevOps, and/ or AWS CodePipeline
Experience with accessibility (A11y)
Job Type: Full-time

Pay: $0.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible schedule
Health insurance
Life insurance
Paid time off
Parental leave
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Work Remotely:
Temporarily due to COVID-19",1.0,"Level2
1.0","Minnetonka, MN",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Full-Stack Software Engineer (Integrations/API),-1,"Articulate is looking for a Full-Stack Software Engineer. We’re makers. We believe the job of a development team is more than just writing code. We are here to create experiences which delight our customers—that is always our top priority.

We’re a fully distributed company with a high degree of autonomy and no office space. At Articulate, you’ll work closely with an awesome team of developers and designers to build industry-leading products and solve interesting problems.

The ideal person for this job is a multitalented Full-Stack Software Engineer with a good eye. This person sweats the details, focuses on quality results instead of effort, and sees problems as opportunities to learn and level up as a team. Solid GIF skills and emojis game are big bonuses. While we’re looking for a full-stack engineer, this particular position will have more of a backend focus.

Here’s a smattering of the tech you’ll be working with: Node.js, React, JavaScript/TypeScript, (S)CSS, AWS, GitHub, and Slack. Functional programming experience or experience integrating large 3rd party platforms a plus.
About Articulate

Articulate is a highly successful, fully remote software company that’s changing the way the world learns. Our award-winning e-learning tools are used by 98,000+ organizations across the globe to create engaging online and mobile courses. Our customers include 93 of the Fortune 100 and 19 of the top 20 U.S. universities. And our online community of 865,000+ members is the largest, fastest-growing community in the industry.
We empower employees to thrive by fostering a culture of autonomy, productivity, and respect. We’re all free to exercise our crafts the best way we know how to reach our goals as individuals and teams. Each and every one of us is focused on producing results that directly impact the company’s success. And we all strive to do what’s right by people, both internally and externally, instead of taking the shortest route to the highest profits.
We honor people’s humanity in all of our disparate experiences and social locations, accepting each person as an individual with a story worth listening to and honoring. We believe that honoring everyone’s humanity means being committed to equity and justice. We welcome different voices and viewpoints and do not discriminate on the basis of race, religion, color, national origin, ancestry, physical and/or mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, transgender status, age, sexual orientation, and military or veteran status, or any other basis protected by law. We are an equal opportunity employer and invite applicants to voluntarily disclose their race and gender on our application form to help us create a diverse company. This voluntarily disclosed information will not be shared with any hiring manager and will be kept in confidence by the Articulate human resources department and executives who are not hiring for this position.

Learn more about our culture.",4.2,"Articulate inc.
4.2",United States,-1,51 to 200 Employees,2002,Company - Private,Internet,Information Technology,$50 to $100 million (USD),-1
Full Stack Developer,-1,"Overview:
This year we are celebrating 65 years as a family owned company. Also recognized by Forbes Magazine for the second year in a row as one of America’s Best Mid-size Employers.

Come celebrate with us! We are growing...43 stores across WI, IL, IA, MI!

Apply here or by texting BFF to 97211
Responsibilities:

We are seeking: a highly motivated Full Stack Developer to join our MIS team in Janesville, WI. This person must be able to create, design, implement and maintain web applications to meet company needs.

Minimum experience: 5 years

Responsibilities:

Develop front end website architecture
Design user interactions on web pages
Develop back end website applications
Create database solutions that support application functionality
Ensure responsiveness of applications
Involvement with projects from conception to finished product
Design and develop APIs
Stay abreast of industry trends of development in web applications and programming languages and vendor packages
Contribute to the ongoing evolution of the existing content supply portfolio of applications and services
Design, develop, modify, implement, and support software components anywhere in the software stack
Determine process improvements, best practices, and develop new processes
Work in close partnerships with cross-functional teams and management
Qualifications:

Excellent understanding of front-end technologies and platforms - JavaScript, HTML5, CSS3
Bootstrap or other responsive frameworks
Experience building applications using .NET Framework (C#)
ASP.NET MVC
Microsoft SQL Server, utilizing stored procedures
Demonstrate a strong sense of ownership for the application being developed

Other Skills (Not Required):

JavaScript frameworks React JS & Redux, Angular, or Vue
Git
Xamarin
SSIS
SSRS

Further Requirements:

Excellent analytical skills
Ability to read and speak English and communicate with customers and coworkers
Ability to learn and perform all primary job functions within the adjustment period
Ability to function as a team member and work under specific work directions
You must value a safe working environment and follow our safety guidelines

#ind3

Job Class: Corporate Office",3.4,"Blain Supply, Inc.
3.4","Janesville, WI",-1,1001 to 5000 Employees,1955,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable,-1
Full Stack Engineer,-1,"Who Are We?

Spring EQ was founded to help homeowners unlock the value of their home by providing visibility to it’s worth, and provide quick access to that equity. Our foundation expanded to include direct mortgage lending in 2019 as interest rates reached historic low levels which set off an unprecedented round of refinancing and home buying opportunities for our borrowers. By surrounding ourselves with some of the brightest, hard-working minds in the industry, we constantly improve the loan experience for our customers.

At Spring EQ, we;
Strive to make every customer interaction a great one.
Recognize behind every loan is a person or family trusting us to handle what may be a once in a lifetime transaction.
Work hard and have fun to get the job done.
Interact on a first name basis and recognize each team member's unique value.
Encourage ways for our team members to learn, develop, diversify and grow with Spring EQ.
Promote our team members so they can share their knowledge with others
Innovate, innovate, innovate.
Create and embrace the latest technology.
Simplify constantly, challenging every process we use to better accomplish our goals.
Build upon a strong company culture and foster an environment of togetherness, support, and accountability.
What Are We Looking For?

Spring EQ is seeking a Full Stack Developer to join our rapidly growing team. This position will be an active member of the Technology team at Spring EQ. The Full Stack Developer will be responsible for architecting, developing and testing the creation of server-side applications and front-end interactions. This position will have the opportunity to build front-end functionality as well.

S/he will have a key focus on the development of all server-side logic, data interchanges and APIs. Our applications include internal process automation and external, customer-facing experience applications. These applications and front-end interactions will be built for high availability and responsiveness.

Position Responsibilities-
Development – This position will be responsible for the development of server-side code which will power our backend services and front-end applications. This position will also contribute to the development of front-end applications
Design & Implementation – This position will be responsible for design and implementation of low-latency, high-availability, performant and secure applications.
S/he will manage the creation of internal and external APIs leveraging AWS API Gateway and Lambda if applicable.
Integrations – This position will be responsible for the Integration with databases such as Postgres, SQL Server and DynamoDB.
Communication – This position will gather and interpret requirements from business stakeholders to build new applications or add functionality to existing applications.
S/he will work with additional members of the Technology team to architect and build solutions.
What is Important to Us?
The Basics:
Bachelor’s Degree in Computer Science or equivalent experience required.
Strong experience in front end frameworks like React.js.
Experience in TypeScript, Express.js and Node.js.
Experience with AWS features such as EC2, S3, Lambda, API Gateway and RDS.
Good understanding of server-side templating languages such as EJS and Handlebars.
Proficient in high quality code testing principals.
Proficient understanding of code versioning tools, such as Git
Basic understanding of front-end technologies, such as HTML5, and CSS3.
Familiarity with Docker containers.
Experience with Linux shell tools a plus.
Experience in TypeORM a plus.
Familiarity with front-end design and user experience (UX).
Ability to multitask, problem solve and efficiently manage time.
The ideal candidate will have a self-starter mentality with the ability to solve open ended business challenges.
The ideal candidate will enthusiastically contribution to a culture of innovation and continuous improvement.
Time is money – At Spring EQ we recognize the importance of working with a sense of urgency. Ideal candidates will possess the ability to thrive in a fast-paced, team-oriented environment.
Spring EQ values personal excellence, integrity and accountability – we need candidates who demonstrate these qualities in their everyday lives.
Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Referral program
Vision insurance
Schedule:
Monday to Friday
Ability to Commute/Relocate:
Philadelphia, PA 19104 (Preferred)
Education:
Bachelor's (Required)
Work Location:
One location
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
This Job Is:
A job for which all ages, including older job seekers, are encouraged to apply
Company's website:
springeq.com
Work Remotely:
Temporarily due to COVID-19",3.8,"Spring EQ LLC
3.8","Philadelphia, PA",-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Senior Full Stack Ruby on Rails Engineer,-1,"See us on Chronicle 5 WCVB:
https://www.youtube.com/watch?reload=9&v=ouJBCg2aTzU

We are a fun and exciting web application and Big Data company. In order to meet an ever-increasing public demand, we are looking to hire a Lead Full Stack Ruby on Rails Engineer with outstanding web development and leadership experience. This is an exceptional opportunity for a great developer to become the lead engineer of a small, growing and profitable, venture-backed company.

Looking to make a move? This position will work from our offices in downtown Worcester, MA. (Read further about our location, below!) Relocation assistance will be offered for the right out-of-area candidate.
What You’ll Be Doing: *
Leading the incorporation of new features to our newly rearchitected and most popular product.
Serving as the Sr. developer and team lead in the technical development of our other real estate and map-based information products
Solving challenging problems working with massive datasets that include crime statistics, schools, lifestyles, neighborhoods and more
Working in an Agile environment writing code and tests you can be proud of
Keeping existing products up-to-date with the latest technologies, architectures, and standards
Advise other parts of the business on technical capabilities and options
Working alongside a nimble, cohesive engineering team
Collaborating with PhD Geographers and Statisticians to create new, disruptive products
What’s In it For You?*
Help people improve their lives, and businesses improve their bottom lines, by helping them find their ideal locations.
A casual, fun working environment, solving some of the most exhilarating Big Data problems in the industry, alongside a team that’s as passionate as you are about this stuff!
Competitive salary and great benefits (401(k), medical coverage, 4 weeks combined paid holiday and personal time each year)
Great work/life balance, with 40-45 hour work weeks the norm!
Long-term stability with a venture backed start up that is already profitable and growing
Investors include the Founders of MapQuest and CoreLogic
Required Skills & Experience: *
3-5 years designing and implementing complex, data-heavy web applications
3-5 years’ experience with Ruby on Rails and PostgreSQL / relational databases, AWS
Experience with design and building Web API development
3+ years’ front end development experience with React, HAML, JavaScript, jQuery, HTML, CSS
Experience as a small team leader, tech-lead or similar role
Self-directed time management, documentation and communication skills
Proven, effective ability to work with others
To be passionate about your craft and entrepreneurial in thinking about how engineering can solve business problems
An ideal candidate would also possess: *
Data mining experience
Scaling and performance tuning of high-traffic, data-heavy sites; Mapbox/Google Maps JavaScript APIs
Our Environment*
Hand coded Rails 4 & 5, Ruby 2.3, 2.4, HTML5/CSS3, JavaScript/jQuery/React
Google Maps API, Mapbox, Amazon AWS, PostgreSQL/PostGIS
We use all of your favorite tools: JIRA, Confluence, Bitbucket, GitHub, Chef, Puppet, etc.
Our Location*
Yards away from commuter rail hub, highway, pubs, restaurants and coffee shops.
5 miles in any direction and you are in quaint New England towns with nationally-ranked schools, historic charm, and great housing options (and we would know, we’re the experts!).
Company Description*
We are a small, high-end geospatial analysis Company born of university research, specializing in location-based decision-making tools: analytics, information and data. We license geospatial risk analytics and SaaS products for a host of business to business applications, and run the largest neighborhood search engine in the world, and “the most trusted source for choosing a neighborhood,” according to Money® Magazine.

Job Type: Full-time

Pay: $100,000.00 - $135,000.00 per year

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Schedule
Health Insurance
Life Insurance
Paid Time Off
Retirement Plan
Vision Insurance
Experience:
Ruby on Rails development: 3 years (Required)
PostgreSQL: 3 years (Required)
JavaScript, jQuery, React, HTML, CSS: 3 years (Preferred)
Education:
Bachelor's (Required)
Work Location:
One location
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Schedule:
Monday to Friday
Day shift
8 hour shift
Company's website:
www.locationinc.com, www.neighborhoodscout.com, www.corelogic.com
Company's Facebook page:
https://www.facebook.com/locationinc/
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,"Location, Inc. / CoreLogic","Worcester, MA",-1,-1,-1,-1,-1,-1,-1,-1
