Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Applications Developer,-1,"Links Unlimited, Inc. is one of Cincinnati’s fastest growing companies and a leader in the corporate incentive industry. Links is seeking an Applications Developer to support our growing internal needs and expanding customer base. This individual will support, enhance, and maintain current applications and provide input and direction on future development projects.

Links Unlimited believes that our technical solutions and staff are essential to our ongoing success, and we are pursuing an individual who is passionate about his/her work and a determined team player. Our workforce is energetic, talented, and poised for growth in this exciting market.
Job responsibilities include**: *
· Manage programming requirements with the designing, coding, and testing of custom internal application software

· Collaborate with end users on project requirements and architect programming needs and efficiencies

· Assist customers and project managers in issue resolution with electronic data transfer

· Provide technical expertise and recommendations for the application development projects

· Participate in data architecture design, performance monitoring, product evaluation and recommend solutions
Requirements: *
· 2+ years’ experience programming experience

· 2+ years’ experience with Microsoft SQL 2012 or above and Transact SQL

· Ability to demonstrate knowledge of Visual Studio 2019 including the following: EntityFramework, LINQ, .Net Framework, MVC, razor, C#, ASP.NET

· Experience with SQL Reports, Crystal Reports, JQuery and JavaScript a plus

· Strong project management skills

· Extremely organized and highly motivated

· Excellent verbal/written communication skills

· Commitment to teamwork and results

· Focus on customer service

Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Employee Assistance Program
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Day Shift
Experience:
SQL: 2 years (Preferred)
C#: 1 year (Preferred)
Work authorization:
United States (Required)
Company's website:
Links Unlimited
Company's Facebook page:
Links Unlimited",4.3,"Links Unlimited, Inc.
4.3","Cincinnati, OH",-1,1 to 50 Employees,-1,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1
Application Developer,-1,"Application Developer

CSI Leasing, Inc. (CSI) is one of the largest independent equipment leasing specialists in the world. Customers turn to CSI for superior service and advice from industry experts they can rely on. We are their resource, not only for financial solutions, but for help with asset management, end of life data security, disposal and more all on a global scale. CSI has been investing in our customers technology solutions for nearly five decades.

CSI is a wholly-owned subsidiary of Tokyo Century Corporation.

CSI Leasing is seeking a full-time Application Developer to join a team that manages all software development work for the company. This group develops applications and oversees outside contractors as necessary. This individual will assist in the creation, maintenance and testing of internal database-driven applications along with external client-facing websites.

Requirements:

High school diploma
2+ years of practical development experience
Ability to develop applications using C#, ASP.NET MVC, JavaScript, SQL Server, and other related APIs
Hands-on experience with Object Oriented Patterns and Design
Excellent communication skills
Self-motivated and eager to learn/adapt to new things
Preferred Experience:
Bachelors degree in Computer Science, Information Technology, or related field experience
SharePoint experience
Experience with versioning and documenting code with Microsoft TFS or Git
Excellent problem solving and resolution skills
We are an equal opportunity employer committed to workforce diversity. CSI Leasing offers compensation commensurate with experience, excellent benefits and a non-smoking environment.

Equal Opportunity Employer
E-Verify Employer

We strive to make our career opportunities accessible to all applicants. If you have a disability and need assistance completing the application, please refer to www.csileasing.com/about-us/careers/ for more information.",3.2,"CSI Leasing, Inc.
3.2","Saint Louis, MO",-1,1001 to 5000 Employees,1972,Company - Private,Building & Personnel Services,Business Services,$1 to $2 billion (USD),-1
Kiosk Application Developer,-1,"Kiosk Application Developer*
DiTRONICS is currently looking for a Software Developer (C#/.NET) to assist in the design and development of our kiosk product. This position is a great opportunity for any .NET Developer that wants the challenge of building a Desktop (WPF) Application with hardware integration.
Responsibilities*
Perform standard software development activities which include requirements definition and analysis, product design, documentation, development, and testing
Work as part of a team of Software Developers to design and develop applications using the Microsoft .NET framework
Perform debugging of software, identify root causes, recommend resolution, and then implement changes as required
Responsible for the development of procedures and documentation for internal applications, development efforts, and Wiki updates
Other duties as required
Education & Skills*
Bachelor’s Degree in Computer Science recommended (Overall experience may be substituted in lieu of degree)
Experience working in a .NET environment, specifically using, C#/.NET, MS SQL, XML, and WPF
Experience with database technologies, such as MS SQL, SQL Lite, MongoDB, stored procedures, queries, etc.
Experience with messaging systems, e.g., MSMQ, SignalR, RabbitMQ, etc.
Ability to create detailed Design Documentation; Knowledge of Confluence is a plus
Experience in developing projects using Source Control Systems (e.g., Azure DevOps, Git, etc)
Experience in cash access products including, ATM, ticket redemption kiosks and cash advance/POS solutions is a plus
Requirements*
Have a good attitude and thoroughly enjoy software development
Be willing to work as part of a Team to accomplish goals, tasks, etc.
Have relevant C#/.NET Experience (All other candidate resumes will be rejected)
Successfully complete all pre-employment requirements
Successfully pass a background investigation check
Supervisory Responsibilities*
This position has no supervisory responsibilities
Work Environment*
This position works in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets, and fax machines.
Physical Demands*
The physical demands are that of a typical software developer job. Sitting, typing, staring at computer monitors for long durations.
Position Type/Expected Hours of Work*
This is a full-time position.

Typical days and hours of work are Monday through Friday, hours of 8:00 a.m. to 5:00 p.m. Occasional evening, holidays and weekend work may be required as job duties demand.

Note: The DiTRONICS Development Team has a work from home/remote work policy that employees may be eligible for once they have completed their probationary period.
Travel*
No travel is expected for this position.
Work Authorization*
Must be authorized to work in The United States and able to provide approved documents of eligibility of employment as requested.

Job Type: Full-time

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Work Location:
One location
Company's website:
www.ditronics.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",1.7,"DiTronics Financial Services, LLC
1.7","Las Vegas, NV",-1,1 to 50 Employees,1998,Company - Private,Financial Transaction Processing,Finance,$5 to $10 million (USD),-1
.Net Core Developer,-1,"Thatcher Technology Group, (TTG) is seeking a talented, experienced, and passionate *.Net Core Developer *to join our growing team, and build our next generation application suite. You will be working in a dynamic and growing organization.
Responsibilities: *
· Develop enterprise-level solutions using .Net, including C#, Web Services, Database Development, HTML5, and JavaScript.

· Successfully complete assigned development tasks such as testing, functional specification, deployment, etc.

· Identify defects and bugs, and devise solutions to these problems.

· Work independently, within the development team, and with other teams such as QA.
Required Qualification: *
· A Bachelor’s degree from an accredited College or University in Computer Science

or related field of study

· 3+ years working with the .NET Core, and design/architectural patterns (e.g. Model-View-Controller (MVC)

· 3+ years of hands-on experience developing applications/websites

· Experience working with and developing RESTful API’s

· Excellent troubleshooting and communication skills

· Experience working with Amazon AWS a plus
\*\*\*Local candidates only \*\*\*Local Candidates only\*\*\* *
This is a full-time permanent position, offering a competitive salary and full benefits: Medical/dental/vision, and employer-paid life insurance; 401k, discounted Lifetime Fitness membership, and other benefits.
About the Company: *
Thatcher Technology Group is a Direct Selling industry innovator offering a full suite of software services and support with a commitment to ongoing development of solutions for the direct selling industry. Thatcher Technology's vision is to bring innovative solutions to the direct selling industry, which will enable both our customers and their field to live more enriched lives.

Thatcher Technology's premier product is the Prowess Software Solutions Suite, a powerful, scalable genealogy, compensation and incentive management software system developed for direct selling organizations. Prowess is specifically designed for companies who have widely disbursed and dynamic sales organizations.
Thatcher Technology Group is an Equal Opportunity Employer.*
Job Type: Full-time

Pay: $75,000.00 - $85,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Health insurance
Life insurance
Paid time off
Referral program
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday",3.3,"Thatcher Technology Group
3.3","Naperville, IL",-1,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1
Automation Developer,-1,"Summary*
CoinFlip seeks a developer to help with automation tasks that arise as we modernize our company. Developer tasks include but are not limited to:

· Scheduling period execution of programs (cron).

· Reading and writing data through a variety of channels, including email (i.e., SMTP/IMAP), HTTP.

· Implementing and manipulating REST, SFTP, Telegram and Slack commands, and standard SQL connections.

· Designing and maintaining ORMs and converting between relational and hierarchical forms.

· Creating data visualizations and reports, including sending them via the channels mentioned above. This can include basic web pages.

· Extending our web services to implement new policies and procedures.

Tasks vary from day to day as needs arise. Developers work closely with financial and operational staff, as most of our automation needs comes from those departments. Developers may encounter small and immediate tasks. We would like someone amenable to come to the office three to four days a week.

Familiarity with Ubuntu and Unix-like operating systems is crucial. Cron tasks will only run on Ubuntu. Simple web-based tools are mostly built in WordPress and complex ones in Python. Our primary app server is Jetty. We use MySQL databases almost exclusively.
Required*
· Familiarity with Ubuntu

· Familiarity with Unix shell in general and bash in particular

· Familiarity with concepts of SSH and port forwarding

· Proficiency in arithmetic, mostly algebra

· High skill-level with Python

· Intermediate skill-level with SQL, MySQL in particular

· Basic server and database administration

· Familiarity with semi-structured data formats (e.g., JSON, YAML, and XML)
Desired*
· Familiarity with macOS

· Familiarity with Java and JavaEE

· PHP experience, especially in tandem with WordPress

· Familiarity with cryptocurrency

· Familiarity with principles of accounting and finance

· Experience with BI systems

Job Type: Full-time

Pay: $60,000.00 - $95,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Paid time off
Referral program
Relocation assistance
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Experience:
Bash: 2 years (Preferred)
Java: 1 year (Preferred)
JSON: 2 years (Preferred)
JavaEE: 1 year (Preferred)
cryptocurrency: 1 year (Preferred)
Ubuntu: 2 years (Preferred)
BI: 1 year (Preferred)
Server Management: 2 years (Preferred)
Wordpress: 1 year (Preferred)
PHP: 1 year (Preferred)
MySQL: 2 years (Preferred)
Python: 3 years (Preferred)
Mac OS: 1 year (Preferred)
SSH: 2 years (Preferred)
Unix Shell: 2 years (Preferred)
accounting and finance: 1 year (Preferred)
Location:
Chicago, IL 60622 (Required)
Work authorization:
United States (Preferred)
Application Question:
What is your previous experience with cryptocurrency? What makes you want to work at CoinFlip?
Work Location:
One location
Work Remotely:
No",-1,CoinFlip,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1
App Developer,-1,"Essential Functions:

§ Responsible for the development and maintenance of all systems including but not limited to:

Corporate website currently based on ASP, ASP.NET(C#), MVC/MS SQL Server

Mobile apps, iOS (Swift and XCode) and Android (Java and Android Studio)

§ Development of additional internal application development projects as directed

§ Provide regular reports to manager as directed regarding assigned projects

§ Act as a strong and consistent contributor to the Application Development team

§ Keep abreast of applicable industry software developments

§ Participate in development planning and prioritization activities

§ Assist the QA department to perform QA developer roles and responsibilities

This position offers working from home with the exception of one day a week working in the coporate office. We are a close knit team who enjoys working for our company who offers us great benefits -including employer paid medical and an amazing 401K match. Our average tenure for employees is 8 years which means we are doing something right!",3.9,"Regional Multiple Listing Service
3.9","Portland, OR",-1,1 to 50 Employees,-1,Company - Private,Internet,Information Technology,$1 to $5 million (USD),-1
Android/ Mobile Application Developer,-1,"We are looking for an Android Developer who possesses a passion for pushing mobile technologies to the limits. This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile applications. Android programming works closely with other app development and technical teams.
Responsibilities*
Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Skills*
BS/MS degree in Computer Science, Engineering or a related subject
Proven software development experience and Android skills development
Proven working experience in Android app development and
Have published at least one original Android app
Experience with Android SDK
Experience working with remote data via REST and JSON
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle.
Job Type: Full-time

Pay: $80,000.00 - $100,000.00 per year

Benefits:
Dental insurance
Health insurance
Paid time off
Schedule:
8 hour shift
Work Location:
One location
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Work Remotely:
No",-1,Digital Health Company,"Cleveland, OH",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Sr. Business Integration Developer,-1,"Energize your future at New Jersey Resources (NJR). We are a Fortune 1000 employer located at the Jersey Shore in Monmouth County, and named a Most Trusted Brand among the country’s natural gas and electric utilities. Join our diversified energy company as we pursue a reliable, sustainable, cleaner energy future. You’ll find a friendly, community-minded work environment, where recognition for your work and opportunities for growth and development are complemented with competitive pay and benefits. That’s NJR Life.

New Jersey Resources is seeking a Senior Business Integration Developer will plan, coordinate, develop solutions, and implement activities related to integrating applications and technologies within the organization.

Major Responsibilities:
Strategy and Planning
• Participate in planning of integration projects and strategies between business units and development teams
• Provide technical knowledge and experience during the planning, execution and management of integrating new applications into the existing application and AI environment
• Identify and resolve systems issues
• Develop standards and processes to support and facilitate integration projects and initiatives
• Identify common patterns and document best practices for integration
• Mentor and guide integration solution architects in carrying out application design tasks
• Follow an integration methodology aligned with middleware tools and data architecture
• Liaise with project managers and delivery coordinators to implement a solution that will meet business requirements within time and cost constraints

Acquisition and Implementation
• Participate in integration testing phase of software and applications under development in order to identify and remedy potential problem areas
• Work with vendors as well as business/technical team to design, test, document, and implement communication workflows between systems
• Assist application software developers and engineers in development of APIs to interact with the AI environment
• Build relationships with software development and engineering teams to gain an understanding of application architectures and required functionality
• Build relationships with vendors of application software deployed in the organization’s IT environment to learn and provide feedback
• Continually develop integration technology skills and stay informed on new developments
• Design, develop, test, and deploy solutions within the organization’s architectural principles, policies, and guidelines
• Develop solutions to streamline workflows/integrate systems
• Provide proper guidance to ensure integration services and architectures are designed, tested, documented, implemented, enhanced and maintained according to the enterprise standards and expected service quality
• Develop an application integration solution architecture that accurately translates business requirements to technology and ensures the design will meet business requirements throughout the lifecycle of a change
• Analyze source system data and work with technical team to determine needs and design solutions

Operational Management
• Identify issues and resolution efforts when integration solutions arise
• Implement audit, logging, and monitoring solutions to provide proactive operational support in the AI environment
• Assist with identifying opportunities to enhance or improve business processes via integration, or, as necessary, minimize the impact of integration on those processes

Position Specifications:
• Bachelor’s degree in computer science or related discipline or the equivalent work experience and technical training
• Three or more years of database experience (DB2, Sequel, Oracle) Work with database platforms for SQL development, database design, management techniques and debugging
• At least five years of experience working with web-based architecture utilizing but not limited to the following - ASP.NET, C/C++, C#, VB.NET, JavaScript, jQuery, HTML, CSS, Java / J2EE / JavaScript, JSON, 3rd Party API Utilization, IIS
• Three or more years developing Java User Interfaces and Web Services (SOA/SOAP/REST/XML) applications
• Fluent in the creation of stored procedures, functions, and views
• Experience with tools to include: Toad, XML Spy and Subversion
• Competency with XML constructs, XSD and schemas
• Proven experience in overseeing the linking of cross-functional applications between disparate business units and systems
• Direct, hands-on experience with automated integration tools, including Informatica integration toolsets:
o Enterprise Service Bus and/or iPaaS
o Service Oriented Architectures – SOAP, WSDL
o MQ Series setup and management
o WebSphere Application Server
o Experience with web service orchestration tools
• Report writing development experience (Crystal, Tableau)
• Knowledge of network protocols and standards including but not limited to Microsoft Active Directory, TCP/IP, DHCP, DNS, WINS and SMTP would be a plus

We are an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, age, gender identity and/or expression, national origin, disability, veteran, or other protected status.

Find out more at njresources.com/NJRLife",4.4,"New Jersey Resources
4.4","Wall, NJ",-1,1001 to 5000 Employees,1981,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),-1
TS/SCI Cleared Developer,-1,"Candidate MUST currently have active *TS*/*SCI Clearance-* *Top Secret/Sensitive Compartmentalized Information*

Developers can work remotely, as long as they are within a 100 mile radius of Washington DC.

The candidate will perform the following work functions:
Develop front-end and back-end services for web-based applications, supporting the mission space, including workflow tracking, searching and analytical applications
Work with a micro-services based framework to develop modules for applications built for customer end-use (mission end-users).
Develop applications on the microservices framework using javascript, React.js, Node.js and other similar code bases used to develop front and back-end services for web-based applications
Work with and design, develop, and deploy lightweight front and back-end services on top of a well-designed and organized micro-services framework
Work with Platforms as a Service such as AWS, Cloud Foundry, OpenShift, etc.
Support software and web architecture development, requirements analysis, process execution and evaluation, selection and evaluation of COTS/GOTS tools, and integration (with both new and legacy systems).
Interact with customers and the development team using the Agile software methodology, including gathering and defining requirements.
Develop and maintain software development technical documentation to assist with software and web application maintenance and upgrades
Preferred Qualifications*
Experience with React
Experience with Redux or other unidirectional data flow libraries
Experience with Node.js, or similar
Experience with source control tools like Git and GitHub
Experience with Database, SQL, and ORMs
Experience with emerging web platform capabilities, such as service workers, offline storage, CSS Grid
Knowledge of DevOps, or Enterprise IT
Some working experience with open source software
Understanding of CSS preprocessors
Understanding of styled-components or another CSS-in-JS tool
Comfort with server-side templates
Familiarity with NGINX
Understanding of AWS services
Familiarity with Docker
Experience:
6 years of experience as a software developer in programs of similar scope, type, and complexity; applies concepts, develops, tests, maintains, and supports high-performance, innovative software and web-based applications.
Experience in integrating new software products with existing software and web applications in order to improve the functionality or design of the system.
Educational Requirements:
Bachelor's Degree from an accredited institute in an area applicable to this position (e.g. information systems, computer science, math, or engineering)
Job Type: Full-time

Pay: $135,000.00 - $180,000.00 per year

Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Schedule:
Monday to Friday
Location:
Washington, DC (Required)
Security Clearance Required:
Top Secret (Required)
Work Location:
Multiple locations
Work Remotely:
Temporarily due to COVID-19",-1,NU Borders,"Washington, DC",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Full-Stack Software Engineer (Integrations/API),-1,"Articulate is looking for a Full-Stack Software Engineer. We’re makers. We believe the job of a development team is more than just writing code. We are here to create experiences which delight our customers—that is always our top priority.

We’re a fully distributed company with a high degree of autonomy and no office space. At Articulate, you’ll work closely with an awesome team of developers and designers to build industry-leading products and solve interesting problems.

The ideal person for this job is a multitalented Full-Stack Software Engineer with a good eye. This person sweats the details, focuses on quality results instead of effort, and sees problems as opportunities to learn and level up as a team. Solid GIF skills and emojis game are big bonuses. While we’re looking for a full-stack engineer, this particular position will have more of a backend focus.

Here’s a smattering of the tech you’ll be working with: Node.js, React, JavaScript/TypeScript, (S)CSS, AWS, GitHub, and Slack. Functional programming experience or experience integrating large 3rd party platforms a plus.
About Articulate

Articulate is a highly successful, fully remote software company that’s changing the way the world learns. Our award-winning e-learning tools are used by 98,000+ organizations across the globe to create engaging online and mobile courses. Our customers include 93 of the Fortune 100 and 19 of the top 20 U.S. universities. And our online community of 865,000+ members is the largest, fastest-growing community in the industry.
We empower employees to thrive by fostering a culture of autonomy, productivity, and respect. We’re all free to exercise our crafts the best way we know how to reach our goals as individuals and teams. Each and every one of us is focused on producing results that directly impact the company’s success. And we all strive to do what’s right by people, both internally and externally, instead of taking the shortest route to the highest profits.
We honor people’s humanity in all of our disparate experiences and social locations, accepting each person as an individual with a story worth listening to and honoring. We believe that honoring everyone’s humanity means being committed to equity and justice. We welcome different voices and viewpoints and do not discriminate on the basis of race, religion, color, national origin, ancestry, physical and/or mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, transgender status, age, sexual orientation, and military or veteran status, or any other basis protected by law. We are an equal opportunity employer and invite applicants to voluntarily disclose their race and gender on our application form to help us create a diverse company. This voluntarily disclosed information will not be shared with any hiring manager and will be kept in confidence by the Articulate human resources department and executives who are not hiring for this position.

Learn more about our culture.",4.2,"Articulate inc.
4.2",United States,-1,51 to 200 Employees,2002,Company - Private,Internet,Information Technology,$50 to $100 million (USD),-1
